Appid,Name,Type,ReleaseDate,Developers,Publishers,price,ReviewScore,PositiveReview,NegativeReview,MemoryRequirement,Rank,CPU_req,CPU_GHz,CPU_tier,tags,ReleaseYear,Exitoso,TotalReviews,PositiveRatio,tag_action,tag_adventure,tag_strategy,tag_multiplayer,tag_first_person,tag_shooter,tag_co_op,tag_realistic,tag_difficult,tag_online_co_op,tag_pvp,tag_atmospheric,tag_sci_fi,tag_open_world,tag_third_person,tag_combat,tag_free_to_play,tag_funny,tag_character_customization,tag_survival,tag_2d,tag_rpg,tag_cute,tag_horror,tag_choices_matter,tag_roguelite,tag_cartoony,tag_turn_based_strategy,tag_3d,tag_psychological_horror,tag_singleplayer,tag_story_rich,tag_action_adventure,tag_exploration,tag_colorful,tag_comedy,tag_violent,tag_gore,tag_mature,tag_simulation,tag_war,tag_vr,tag_racing,tag_fantasy,tag_anime,tag_sexual_content,tag_tactical,tag_controller,tag_management,tag_indie,tag_sandbox,tag_casual,tag_relaxing,tag_family_friendly,tag_puzzle,tag_building,tag_immersive_sim,tag_massively_multiplayer,tag_early_access,tag_visual_novel,tag_platformer,tag_great_soundtrack,tag_dark,tag_pixel_graphics,tag_fps,tag_sports,tag_local_co_op,tag_stylized,tag_retro,tag_arcade,tag_historical,tag_female_protagonist,tag_point_and_click,tag_resource_management,tag_roguelike,tag_economy,tag_turn_based_combat,tag_physics,tag_mystery,tag_pve,tag_crafting,tag_action_rpg,tag_procedural_generation,tag_nudity,tag_top_down,tag_replay_value,tag_turn_based_tactics,tag_old_school,tag_fighting,tag_hentai,tag_magic,tag_jrpg,tag_hand_drawn,tag_romance,tag_local_multiplayer,tag_minimalist,tag_card_game,tag_base_building,tag_clicker,tag_multiple_endings,tag_medieval,tag_rts,tag_city_builder,tag_lgbtq+,tag_music,tag_interactive_fiction,tag_walking_simulator,tag_space,tag_military,tag_side_scroller,tag_2d_platformer,tag_emotional,tag_driving,tag_board_game,tag_bullet_hell,tag_linear,tag_logic,tag_classic,tag_choose_your_own_adventure,tag_isometric,tag_dating_sim,tag_wargame,tag_turn_based,tag_text_based,tag_hack_and_slash,tag_education,tag_detective,tag_1990's,tag_surreal,tag_memes,tag_shoot_'em_up,tag_hidden_object,tag_time_management,tag_puzzle_platformer
3764200,Resident Evil Requiem,game,2026-02-26,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",69.99,9,23715,793,0.0,1,0.0,0.0,0.0,"action, adventure",2026,1,24508,0.9676432185408846,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,Counter-Strike 2,game,2012-08-21,Valve,Valve,0.0,8,1214897,202393,8192.0,2,1.0,3.0,2.0,"action, strategy, multiplayer, first-person, shooter, co-op, realistic, difficult, online co-op, pvp",2012,1,1417290,0.8571971861792576,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1808500,ARC Raiders,game,2025-10-30,Embark Studios,Embark Studios,39.99,8,149531,23194,12288.0,3,1.0,3.0,2.0,"action, atmospheric, multiplayer, shooter, sci-fi, open world, realistic, third person, combat, online co-op",2025,1,172725,0.865717180489217,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359550,Tom Clancy's Rainbow Six Siege,game,2015-12-01,Ubisoft Montreal,Ubisoft,0.0,8,522886,106839,0.0,4,0.0,0.0,0.0,"action, free-to-play",2015,1,629725,0.830340227877248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172470,Apex Legends™,game,2020-11-04,Respawn,Electronic Arts,0.0,6,820,216,6144.0,5,1.0,2.3,1.0,"action, multiplayer, first-person, funny, shooter, co-op, sci-fi, character customization, survival, pvp",2020,0,1036,0.7915057915057915,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686060,Mewgenics,game,2026-02-10,"Edmund McMillen,Tyler Glaiel","Edmund McMillen,Tyler Glaiel",29.99,8,18149,1620,8192.0,6,1.0,1.0,0.0,"2d, rpg, cute, funny, horror, sci-fi, choices matter, roguelite, cartoony, turn-based strategy",2026,1,19769,0.9180535181344529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230410,Warframe,game,2013-03-25,Digital Extremes,Digital Extremes,0.0,8,1004,136,0.0,7,0.0,0.0,0.0,"action, rpg, free-to-play",2013,1,1140,0.8807017543859649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2767030,Marvel Rivals,game,2024-12-05,NetEase Games,NetEase Games,0.0,0,0,0,16384.0,8,1.0,3.0,2.0,"action, strategy, multiplayer, 3d, shooter, co-op, sci-fi, psychological horror, third person, online co-op",2024,0,0,,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151340,Fallout 76,game,2020-04-14,Bethesda Game Studios,Bethesda Softworks,39.99,6,33831,10836,0.0,9,0.0,0.0,0.0,rpg,2020,0,44667,0.7574047954866009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553850,HELLDIVERS™ 2,game,2024-02-08,Arrowhead Game Studios,PlayStation Publishing LLC,39.99,8,507766,101612,0.0,10,0.0,0.0,0.0,action,2024,1,609378,0.833252923472787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
